업소명,주소,위도,경도,데이터기준일자
제스타노래타운,제주특별자치도 서귀포시 김정문화로27번길 10-3,33.252672,126.508565,2020-08-20
포구가요반주,제주특별자치도 서귀포시 남원읍 남원회관로 53,33.278337,126.7188071,2020-08-20
애플노래텔,제주특별자치도 서귀포시 남원읍 남원회관로 65,33.278744,126.719842,2020-08-20
파라다이스,제주특별자치도 서귀포시 남원읍 남원회관로 73,33.27900855,126.7207329,2020-08-20
남원황진이가요주점,제주특별자치도 서귀포시 남원읍 태위로 673,33.2791004,126.7182808,2020-08-20
캠프노래주점,제주특별자치도 서귀포시 남원읍 태위로 685,33.27937392,126.7196239,2020-08-20
써니가요방,제주특별자치도 서귀포시 남원읍 태위로 686,33.2791796,126.7198135,2020-08-20
숲,제주특별자치도 서귀포시 남원읍 태위로682번길 8,33.27871109,126.7199652,2020-08-20
더네임노래타운,제주특별자치도 서귀포시 남원읍 태위로689번길 1-1,33.27963814,126.7200396,2020-08-20
밀라노,제주특별자치도 서귀포시 대정읍 상모로 288,33.22336471,126.2586202,2020-08-20
영빈,제주특별자치도 서귀포시 대정읍 상모로289번길 16-7,33.22282074,126.2569084,2020-08-20
뮤직하트가요방,제주특별자치도 서귀포시 대정읍 신영로 102,33.2210784,126.2538252,2020-08-20
신세원,제주특별자치도 서귀포시 대정읍 신영로 112-1,33.22180985,126.2543167,2020-08-20
신한라,제주특별자치도 서귀포시 대정읍 신영로 49,33.22172975,126.2487951,2020-08-20
서울노래주점,제주특별자치도 서귀포시 대정읍 신영로 59,33.22090731,126.2493642,2020-08-20
대정올레노래주점,제주특별자치도 서귀포시 대정읍 영서중로 5-1,33.22117378,126.2540947,2020-08-20
신부킹노래주점,제주특별자치도 서귀포시 대정읍 영서중로 5-3,33.22128153,126.2540208,2020-08-20
주라주라가요방,제주특별자치도 서귀포시 대정읍 하모상가로 23,33.22166912,126.2513014,2020-08-20
뉴한강,제주특별자치도 서귀포시 대정읍 하모상가로 27,33.22167157,126.2517091,2020-08-20
포구노래타운,제주특별자치도 서귀포시 대정읍 하모상가로 38-1,33.22126364,126.252841,2020-08-20
미인,제주특별자치도 서귀포시 대정읍 하모이삼로52번길 18-2,33.22215235,126.2536959,2020-08-20
빙고,제주특별자치도 서귀포시 대정읍 하모중앙로 42-1,33.22442664,126.2522649,2020-08-20
불란지,제주특별자치도 서귀포시 대정읍 하모중앙로 46-6,33.22454266,126.2517661,2020-08-20
바람,제주특별자치도 서귀포시 대정읍 하모중앙로 51,33.22365954,126.252443,2020-08-20
블랙스톤,제주특별자치도 서귀포시 대정읍 하모중앙로 51,33.22365954,126.252443,2020-08-20
빠리가요방,제주특별자치도 서귀포시 대정읍 하모중앙로 51,33.22365954,126.252443,2020-08-20
대벌,제주특별자치도 서귀포시 대정읍 하모중앙로 53,33.22338559,126.2524668,2020-08-20
땡큐가요반주,제주특별자치도 서귀포시 대정읍 하모중앙로 62-2,33.22268298,126.2519751,2020-08-20
풍학,제주특별자치도 서귀포시 대정읍 하모중앙로 79,33.22112989,126.2521899,2020-08-20
비너스,제주특별자치도 서귀포시 대정읍 하모중앙로 81,33.22094208,126.2521443,2020-08-20
떳다 노래방,제주특별자치도 서귀포시 대정읍 하모중앙로 84,33.22075229,126.2517684,2020-08-20
운정가요룸,제주특별자치도 서귀포시 대정읍 하모항구로10번길 14,33.2174105,126.2514021,2020-08-20
옹달샘가요방,제주특별자치도 서귀포시 동문동로 33,33.25109668,126.5647464,2020-08-20
송미가요방,제주특별자치도 서귀포시 동문로 33,33.2509944,126.5643777,2020-08-20
야누스가요방,제주특별자치도 서귀포시 동문로 38,33.25040046,126.5647026,2020-08-20
별가요방,제주특별자치도 서귀포시 동문로 48,33.24982286,126.5655725,2020-08-20
연인가요방,제주특별자치도 서귀포시 동문로 48,33.24982286,126.5655725,2020-08-20
스커트,제주특별자치도 서귀포시 동문로 52,33.24963638,126.5658782,2020-08-20
황금선,제주특별자치도 서귀포시 동문로 57,33.24956345,126.5666812,2020-08-20
동경가요방,제주특별자치도 서귀포시 동문로 58,33.24931381,126.5664549,2020-08-20
원클릭가요방,제주특별자치도 서귀포시 동문로 60,33.24923843,126.5665583,2020-08-20
쿨토마토,제주특별자치도 서귀포시 동문로 62-1,33.24909845,126.5667522,2020-08-20
여미지가요방,제주특별자치도 서귀포시 동문로 63,33.2492476,126.5671206,2020-08-20
크라운노래주점,제주특별자치도 서귀포시 동문로 63,33.2492476,126.5671206,2020-08-20
일출,제주특별자치도 서귀포시 동문로 64,33.24905922,126.5668768,2020-08-20
세바퀴가요방,제주특별자치도 서귀포시 동문로 65,33.24915078,126.5672799,2020-08-20
세림가요방,제주특별자치도 서귀포시 동문로 68,33.2488945,126.5672167,2020-08-20
꽃바람가요방,제주특별자치도 서귀포시 동문로 70,33.24881902,126.5672901,2020-08-20
탐라노래방,제주특별자치도 서귀포시 동홍로 6,33.24901611,126.567963,2020-08-20
한라가요방,제주특별자치도 서귀포시 동홍로8번길 2,33.24910648,126.5680226,2020-08-20
해성,제주특별자치도 서귀포시 명동로 1-1,33.24705192,126.5621654,2020-08-20
코리아나,제주특별자치도 서귀포시 명동로 1-1,33.24705192,126.5621654,2020-08-20
