user,rating,date,region,review,helpful
Michael D. Cole,5.0," April 10, 2018",Reviewed in the United States ,"My job gave me a computer with a crap ass keyboard that had broken feet and the previous guy's nastiness all over the keys.  I could have waited for them to slowly decide when it was in the budget to replace a crap ass stock keyboard with another crap ass stock keyboard, but I decided I had waited long enough.  If I am going to spend the better part of 8 hours staring at a computer, I might as well make it my own.  So I dropped a couple of bucks and got a keyboard and mouse that would be complete overkill for an office environment... and it's perfect.  Why?  Because now my boring ol' office has some uniqueness to it, making me forget I am trapped at a desk.  Now I am trapped at a desk with peripherals that are much better than anyone else.  This may not be a big deal to you, but in my mind, it's better to do the mundane tasks on a keyboard that visually distracts me with colorful bliss.  The mouse takes the feeling of dread I had from clicking that worn out stock mouse and gives me the excitement I need to not only click, but DOUBLE CLICK as well.  I'm sure i could play games and other things with it too.So why did I buy a gaming mouse and keyboard for an office computer?  Because I'm awesome.  That, and think about it... gamers sit there for hours double-clicking to use the Sword of Gondor repeatedly, so it must be comfortable.  Logic.","1,152"
Kels,5.0," April 23, 2018",Reviewed in the United States ,"I was looking for a keyboard/mouse set to play some games on my PS4 (trying to get used to it before getting a PC) and this set is exactly what I wanted. It works flawlessly, all I had to do was plug it in. No adaptor, no extra USB hub... nothing. It works GREAT right out of the box!It’s also really cool looking; the mouse has a fabric wire which is really nice to have, and both cords are very long. I really love this set and I’m really happy with my purchase! Awesome stuff.",476
Jon Almada,5.0," August 4, 2018",Reviewed in the United States ,"I bought this combination, expecting it to work out of the box. The Keyboard is beautiful and does a fine job of working for what I intend it for. The mouse... No spring back for either left or right mouse buttons. I am a little more than peeved at seeing this obvious factory issue make it all the way to my doorstep. Still mulling over what to do - I may send this back. Poor quality control.Update: On closer inspection, the mouse had been misaligned at the factory and the top and bottom pieces of the mouse body were not aligned correctly. I watched a video on YouTube for this mouse as to how to disassemble and reassemble the mouse and after a few minutes I had the mouse repaired. I *WILL* be covering this on my YouTube channel since I plan to review this combo set.One more item: Redragon makes it VERY clear that software is included with this package. It is most certainly NOT. And they go to great lengths to hide the software from the end user. I have found what I believe to be the software links, but plan to test before I share them here. I will bump up the review one notch if the package works out well over the long haul, but given the mouse issue right out of the gate and the promised software NOT being in the box plus the poor web site support to find the program, I cannot reasonably give Redragon a 5 star rating until these items are corrected.Update: December 2019 - I was able to correct all the issues with that first mouse and the software works just fine. I've since bought this combination of mouse and keyboard 3 more times and had no issues. This truly is a great keyboard/mouse combination and I've made it a standard setup on the 3 gaming systems I've built to date.  Software is indeed on their website but it is a little strange to find - The mouse is on the website as ""Redragon M601-3 CENTROPHORUS 3200 DPI Gaming Mouse "" and has two downloadable executables - The Windows 10 version works just fine. I rarely run the software since it works fine without it but it is nice to be able to change the mouse parameters if needed.",357
Shawn,5.0," July 11, 2018",Reviewed in the United States ,"I bought this for my kid so I wasn't too concerned about what I thought about it for a low cost keyboard and mouse combo. They just wanted the lights. But after using it myself on their system, I have to say the mouse and keyboard actually feel and work really really good!  And the LEDs actually look really good on both of them too! They beat up both a lot and still work after 4 plus months with no issues.While I am still planning to replace my workhorse basic keyboard with a programmable RGB like the Corsair K70 RGB or something by G.Skill or Logitech; if you are looking for a great budget combo with lights. This ones feels great to type on and looks great too for the price. I really am shocked. If you are building a new system and want to space out spending money on the really nice gaming keyboards, or refreshing the experience on and old system with worn keyboard, this is a great option. I didn't test for ghosting, but I didn't have any issues with any games or software.",162
Brian S.,5.0," August 25, 2018",Reviewed in the United States ,"My son wasn't enjoying my old 2005 logitech wireless and keyboard with his gaming so we grabbed this deal. So far we are all happy, the mouse is accurate and has a nice feel. The keyboard looks great with the backlit colors, which can pulse, scroll, and be dimmed and brightened. The keys have a bit softer of a feel than I am used to but it hasn't hindered me in any way. For this price we couldn't be happier, we very much recommend this.",152
Iván,1.0," December 1, 2017",Reviewed in the United States ,"I just got this product, after it was delayed for a day.The mouse works great but the keyboard came defective, I will have to return it, because several keys (W, H, ., backspace, delete) don't work.I tried changing the usb port but it did not work.",166
marimikk,5.0," December 13, 2017",Reviewed in the United States ,"I've only been using the keyboard at work for about week, and so far it's been great. I like that I can select a 'solid' color (vs multiple colors) and each day I change the color (Fn+Home) - I've received lots of comments on the cool colors. The keys are a perfect distance from each other & are easy to press. My old MS keyboard at home forces me to use more pressure on the keys & therefore I find I make more typos. I don't have that problem with this keyboard. The only thing I miss having is a button for the calculator.I like the mouse too. The only complaint is that sometimes my forefinger doesn't automatically find the scroll wheel (it's between two ridges that are slightly too high) & I have to look at the mouse to find it.",114
John W. Allen,5.0," November 29, 2017",Reviewed in the United States ,"I've only been using it since yesterday, but I am already won over by this keyboard and mouse combo. Now, the M601-3 Centrophorus mouse is great. It's heavy, glides smoothly, the buttons are responsive, and the size is just right for my hands. That alone is worth the money, but I'm not focusing on the mouse in this review, but the keyboard.This keyboard is a delight. Typing on it is comfortable, the keys are sturdy, give a nice tactile response, and aren't so loud as to wake sleeping members of the household as I type. There was a time when I could type 130 WPM with zero errors, but for years that number was severely reduced due to a number of issues: carpal tunnel, arthritis, and poorly made keyboards. Right now I'm typing around 110 WPM with zero errors, and the keyboard isn't even breaking a sweat. This is probably the best it will ever get for me, but I am already amazed. I never thought I'd be able to type this fast ever again, but the keyboard is laid out in such a way, with the keys themselves offering a terrific response that lets my fingers bounce from one key to another without any interference or lag, that I don't even feel like I'm straining at keeping up the pace.I realize this isn't a mechanical keyboard, but it does feel like one. I mean, if you can't afford a mechanical keyboard, the Redragon Harpe K503RGB is a fantastic deal, and I haven't even got to the fun part yet: the lights!As you know from the description, the keyboard lights up in a rainbow pattern, as well as 7 colors, including my two favorites: purple, and white. It also has a spectrum option which shows a steady rainbow that doesn't blink, or you can have one that ""breathes."" It's all rather lovely, and it's a dream for me to type at night. I touch type, but sometimes you need to see the keys, even in the dark, and I have no trouble seeing where my hands are placed, or where I'm going while I'm typing at night.All in all, I got this combo for a steal. $30? It's easily worth twice that much, IMO. As a budget gamer, I never thought I'd be able to afford a keyboard and mouse with this kind of quality. I highly recommend this for anyone who doesn't have a lot of money, but would like to be productive as a gamer, as a typist, and as a general computer user.5 out of 5 Stars. Buy it.",83
Robert,1.0," January 30, 2020",Reviewed in the United States ,"Not a lot to like on this combo.  Even at this price point (under $30), it's hard to justify buying this.1.  The main impression I got when I opened the package was how cheap it looked and felt.  So plasticky.  So unfinished.  (Even before opening the package, I was surprised by how the vendor shipped it.  No shipping box, no cushioning materials.  It was shipped in the original product box with a mailing label slapped onto it.  Talk about being cheap!)2.  The keyboard.- The keyboard feels mushy, not crisp.- Keys are NOT individually lit, instead groups of keys are lit.  That, in itself isn't so bad, but about half the light bleeds out from under the sides of the keys - making the backlighting a distraction.- The green and the yellow colors are barely adequate to work in daylight conditions, the other colors are just not bright enough.- The number keys are disingenuously labeled.  IMO, they are ""backward"".  For example , the ""1"" on the one key is displayed on the top, while the ""!"" is on the bottom.  Moreover, only the ""1"" is backlit, the ""!"" remains dark no matter what.  So, it is difficult (impossible in the dark) to read any of the symbols below the numbers.3.  The mouse.- The mouse feels especially cheap.  It must weigh an ounce, much too light to comfortably move around.- It has an gritty finish that seems to rub off when touched.  After a short period of time, my guess is that the rough finish will smooth out ... but meanwhile it's just plain uncomfortable to use.- And the mouse doesn't change color, it's just plain red.  Instead of enhancing the look of the mouse, the red led light seem to highlight the cheap plastic used in its manufacture.- The buttons work, but they, too, feel cheap.  Clickety cheap.I cannot recommend this product, even for entry level use.",23
Amber,1.0," July 14, 2019",Reviewed in the United States ,Product worked great and would have been a 5 star but the space bar stopped working after 5 months. The keyboard is considered computer equipment so only a 30 day warranty applies.Took apart to see if there was an issue with a spring and their are cheap rubber buttons that act as springs. The one for the space bar was deteriorated down to nothing and many others looked about to fail.,25
