Germany,Israel,South Korea,United Kingdom,United States
295.594,138.408,9.967,198.81900000000002,568.995
277.798,182.426,10.533,239.18,612.9680000000001
281.569,166.136,12.269,220.237,674.9830000000001
190.609,80.295,11.370999999999999,241.31599999999997,702.846
311.82599999999996,199.294,12.308,229.488,651.992
130.216,124.77600000000001,11.995999999999999,255.9,547.5880000000001
65.12,218.47299999999998,11.585999999999999,217.63,587.3340000000001
349.267,171.91299999999998,13.205,182.453,678.097
299.449,229.44799999999998,12.99,245.028,672.6469999999999
390.695,245.623,13.419,310.314,699.173
324.847,100.745,18.53,320.89099999999996,725.3389999999999
260.098,290.796,20.09,317.503,657.992
175.55900000000003,160.591,14.005,273.12,567.884
76.99600000000001,269.192,17.164,300.165,587.047
403.717,129.859,21.026,273.532,631.391
390.815,509.731,19.719,372.684,745.1419999999999
360.2,338.858,20.714000000000002,523.4069999999999,724.768
391.841,251.515,20.578000000000003,420.705,760.816
258.749,315.867,21.358,401.39300000000003,580.364
76.91199999999999,216.50900000000001,18.062,531.538,568.0169999999999
229.829,404.25,16.95,493.725,600.306
431.50300000000004,488.473,21.26,544.015,598.506
402.917,292.876,19.173,580.193,693.7230000000001
315.89599999999996,537.9209999999999,24.128,576.687,586.566
25.541999999999998,544.507,22.08,483.207,295.70799999999997
161.17600000000002,493.67199999999997,18.92,512.447,684.0310000000001
147.988,324.185,15.76,478.64099999999996,470.827
167.144,671.824,20.383,610.73,526.135
232.33599999999998,590.72,20.441,784.7710000000001,605.457
585.363,483.621,18.861,740.049,706.04
231.15400000000002,771.529,20.070999999999998,825.3389999999999,711.7769999999999
25.267,606.317,16.072,787.467,464.999
130.132,726.587,12.698,852.2080000000001,907.7330000000001
123.604,779.039,19.895,812.4939999999999,630.971
147.045,766.0989999999999,13.946,867.97,555.9019999999999
219.00400000000002,920.335,16.365,899.847,710.091
318.235,844.43,16.93,921.4860000000001,772.311
541.07,878.05,13.107000000000001,777.5830000000001,840.8910000000001
227.69299999999998,728.8969999999999,12.503,1004.507,892.008
272.415,933.159,12.970999999999998,885.278,788.414
11.315,679.9110000000001,8.777000000000001,810.565,644.753
139.717,1126.9080000000001,10.474,681.6569999999999,648.5269999999999
324.764,1038.641,10.942,672.421,685.695
305.142,1154.983,10.065,702.0889999999999,695.768
254.739,1126.9080000000001,10.006,718.9110000000001,712.278
102.561,604.815,11.293,823.2180000000001,733.4680000000001
176.84799999999998,976.253,10.142999999999999,610.258,609.8380000000001
137.067,946.215,7.587000000000001,569.631,537.552
110.439,757.8960000000001,7.529,554.0169999999999,433.827
146.006,852.633,7.86,492.79699999999997,532.37
346.164,1179.938,7.8020000000000005,574.375,553.654
98.79,811.85,6.71,559.423,585.663
195.33599999999998,711.567,8.387,593.952,576.31
148.358,569.924,7.646,495.713,515.884
120.286,397.664,8.524,443.55199999999996,396.365
82.2,423.54400000000004,6.905,327.66700000000003,458.235
112.038,992.081,10.806,297.072,445.996
186.623,1378.77,9.693999999999999,373.7,465.135
177.635,843.9680000000001,9.148,424.403,509.978
153.144,588.756,8.875,429.32300000000004,503.35900000000004
209.085,554.327,6.9239999999999995,344.695,430.38599999999997
